surface,candidate_lemmas,wordnet_exact,parts_of_speech,default_action,reason
subscriptions,subscription,no,,standalone,No supported inflection rule safely maps this word to subscription.
converted,convert,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside convert.
philippines,philippine,yes,,standalone,WordNet records an independent sense alongside philippine.
organized,organize,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside organize.
improving,improve,yes,VBG|NN,standalone,WordNet records an independent sense alongside improve.
tutorials,tutorial,no,,standalone,No supported inflection rule safely maps this word to tutorial.
collectables,collectable,no,,standalone,No supported inflection rule safely maps this word to collectable.
purchasing,purchase,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside purchase.
appointed,appoint,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside appoint.
corresponding,correspond,yes,JJ|VBG,standalone,WordNet records an independent sense alongside correspond.
telecommunications,telecommunication,no,NNS|JJ|NN,standalone,Plural form has an independent lexical role alongside telecommunication.
represented,represent,yes,VBN|VBD,standalone,WordNet records an independent sense alongside represent.
calculated,calculate,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside calculate.
incorporated,incorporate,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside incorporate.
investing,invest,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside invest.
allocated,allocate,no,,standalone,No supported inflection rule safely maps this word to allocate.
corrections,correction,yes,NNS,standalone,WordNet records an independent sense alongside correction.
prohibited,prohibit,yes,VBN|VBD,standalone,WordNet records an independent sense alongside prohibit.
addressed,address,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside address.
discovered,discover,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside discover.
participating,participate,yes,VBG|JJ,standalone,WordNet records an independent sense alongside participate.
limousines,limousine,no,,standalone,No supported inflection rule safely maps this word to limousine.
surrounding,surround,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside surround.
permitted,permit,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside permit.
confirmed,confirm,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside confirm.
wallpapers,wallpaper,no,,standalone,No supported inflection rule safely maps this word to wallpaper.
counseling,counsel,yes,NN|VBG,standalone,WordNet records an independent sense alongside counsel.
satisfied,satisfy,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside satisfy.
screening,screen,yes,NN|VBG,standalone,WordNet records an independent sense alongside screen.
forgotten,forget,yes,,standalone,WordNet records an independent sense alongside forget.
restricted,restrict,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside restrict.
supplements,supplement,no,,standalone,No supported inflection rule safely maps this word to supplement.
producing,produce,no,VBG|JJ|NN,standalone,Participle has an independent lexical role alongside produce.
appearing,appear,yes,VBG,standalone,WordNet records an independent sense alongside appear.
processed,process,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside process.
showtimes,showtime,no,,standalone,No supported inflection rule safely maps this word to showtime.
illustrated,illustrate,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside illustrate.
automated,automate,yes,,standalone,WordNet records an independent sense alongside automate.
encouraged,encourage,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside encourage.
cartridges,cartridge,no,,standalone,No supported inflection rule safely maps this word to cartridge.
determining,determine,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside determine.
personalized,personalize,yes,VBN|JJ,standalone,WordNet records an independent sense alongside personalize.
conditioning,condition,yes,NN|VBG,standalone,WordNet records an independent sense alongside condition.
camcorders,camcorder,no,,standalone,No supported inflection rule safely maps this word to camcorder.
interfaces,interface,no,,standalone,No supported inflection rule safely maps this word to interface.
returning,return,yes,VBG,standalone,WordNet records an independent sense alongside return.
peripherals,peripheral,no,,standalone,No supported inflection rule safely maps this word to peripheral.
bestsellers,bestseller,no,,standalone,No supported inflection rule safely maps this word to bestseller.
customized,customize,no,VBN|JJ,standalone,Past-tense form has an independent lexical role alongside customize.
understood,understand,yes,VBN|VBD,standalone,WordNet records an independent sense alongside understand.
happening,happen,yes,VBG|NN,standalone,WordNet records an independent sense alongside happen.
gardening,garden,yes,NN|VBG,standalone,WordNet records an independent sense alongside garden.
outsourcing,outsource,no,,standalone,No supported inflection rule safely maps this word to outsource.
demonstrated,demonstrate,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside demonstrate.
dispatched,dispatch,no,,standalone,No supported inflection rule safely maps this word to dispatch.
installing,install,yes,VBG,standalone,WordNet records an independent sense alongside install.
messaging,message,yes,NN|VBG,standalone,WordNet records an independent sense alongside message.
measuring,measure,yes,VBG|NN,standalone,WordNet records an independent sense alongside measure.
headquarters,headquarter,yes,NN|NNS,standalone,WordNet records an independent sense alongside headquarter.
parenting,parent,no,NN,standalone,No supported inflection rule safely maps this word to parent.
recycling,recycle,yes,,standalone,WordNet records an independent sense alongside recycle.
qualifications,qualification,no,,standalone,No supported inflection rule safely maps this word to qualification.
transferred,transfer,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside transfer.
underlying,underlie,yes,VBG|JJ,standalone,WordNet records an independent sense alongside underlie.
wrestling,wrestle,yes,,standalone,WordNet records an independent sense alongside wrestle.
gathering,gather,yes,NN|VBG,standalone,WordNet records an independent sense alongside gather.
specialized,specialize,yes,JJ|VBD|VBN,standalone,WordNet records an independent sense alongside specialize.
downloaded,download,no,,standalone,No supported inflection rule safely maps this word to download.
sunglasses,sunglass,yes,,standalone,WordNet records an independent sense alongside sunglass.
submissions,submission,no,,standalone,No supported inflection rule safely maps this word to submission.
broadcasting,broadcast,yes,NN|VBG,standalone,WordNet records an independent sense alongside broadcast.
suffering,suffer,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside suffer.
affiliated,affiliate,yes,,standalone,WordNet records an independent sense alongside affiliate.
selecting,select,no,VBG|NN,standalone,Participle has an independent lexical role alongside select.
amenities,amenity,yes,,standalone,WordNet records an independent sense alongside amenity.
surprised,surprise,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside surprise.
algorithms,algorithm,no,,standalone,No supported inflection rule safely maps this word to algorithm.
connecting,connect,no,VBG|JJ,standalone,Participle has an independent lexical role alongside connect.
protecting,protect,yes,VBG,standalone,WordNet records an independent sense alongside protect.
transmitted,transmit,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside transmit.
switching,switch,yes,VBG|NN,standalone,WordNet records an independent sense alongside switch.
filtering,filter,no,VBG|NN,standalone,Participle has an independent lexical role alongside filter.
separated,separate,yes,VBN|JJ|VBD|VBP,standalone,WordNet records an independent sense alongside separate.
governing,govern,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside govern.
attending,attend,yes,VBG,standalone,WordNet records an independent sense alongside attend.
recruiting,recruit,no,VBG|NN,standalone,Participle has an independent lexical role alongside recruit.
traveling,travel,yes,VBG|NN,standalone,WordNet records an independent sense alongside travel.
permissions,permission,no,,standalone,No supported inflection rule safely maps this word to permission.
prescribed,prescribe,yes,,standalone,WordNet records an independent sense alongside prescribe.
reproduced,reproduce,no,,standalone,No supported inflection rule safely maps this word to reproduce.
consolidated,consolidate,yes,JJ|VBD|VBN,standalone,WordNet records an independent sense alongside consolidate.
occasions,occasion,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside occasion.
designing,design,yes,VBG,standalone,WordNet records an independent sense alongside design.
streaming,stream,yes,VBG,standalone,WordNet records an independent sense alongside stream.
discounted,discount,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside discount.
concluded,conclude,yes,VBD|VBN,standalone,WordNet records an independent sense alongside conclude.
manufactured,manufacture,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside manufacture.
wondering,wonder,yes,VBG|NN,standalone,WordNet records an independent sense alongside wonder.
collecting,collect,yes,VBG|NN,standalone,WordNet records an independent sense alongside collect.
expanding,expand,no,VBG|JJ,standalone,Participle has an independent lexical role alongside expand.
sophisticated,sophisticate,yes,JJ,standalone,WordNet records an independent sense alongside sophisticate.
thumbnails,thumbnail,no,,standalone,No supported inflection rule safely maps this word to thumbnail.
destroyed,destroy,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside destroy.
accredited,accredit,yes,,standalone,WordNet records an independent sense alongside accredit.
compressed,compress,yes,,standalone,WordNet records an independent sense alongside compress.
scheduling,schedule,yes,NN|VBG,standalone,WordNet records an independent sense alongside schedule.
christians,christian,no,,standalone,No supported inflection rule safely maps this word to christian.
challenging,challenge,yes,VBG|JJ,standalone,WordNet records an independent sense alongside challenge.
generating,generate,no,VBG|NN,standalone,Participle has an independent lexical role alongside generate.
modifications,modification,no,,standalone,No supported inflection rule safely maps this word to modification.
fisheries,fishery,no,,standalone,No supported inflection rule safely maps this word to fishery.
copyrights,copyright,no,,standalone,No supported inflection rule safely maps this word to copyright.
chronicles,chronicle,no,,standalone,No supported inflection rule safely maps this word to chronicle.
contracting,contract,yes,NN|VBG,standalone,WordNet records an independent sense alongside contract.
structured,structure,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside structure.
controlling,control,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside control.
affecting,affect,yes,VBG,standalone,WordNet records an independent sense alongside affect.
downloading,download,no,,standalone,No supported inflection rule safely maps this word to download.
complicated,complicate,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside complicate.
decorating,decorate,no,NN|VBG,standalone,Participle has an independent lexical role alongside decorate.
connectors,connector,no,,standalone,No supported inflection rule safely maps this word to connector.
furnishings,furnishing,no,,standalone,No supported inflection rule safely maps this word to furnishing.
configured,configure,yes,,standalone,WordNet records an independent sense alongside configure.
contributing,contribute,yes,VBG|JJ,standalone,WordNet records an independent sense alongside contribute.
enquiries,enquiry,no,,standalone,No supported inflection rule safely maps this word to enquiry.
predicted,predict,no,VBD|JJ|VBN,standalone,Past-tense form has an independent lexical role alongside predict.
mechanics,mechanic,yes,NNS,standalone,WordNet records an independent sense alongside mechanic.
accompanied,accompany,yes,VBN|VBD,standalone,WordNet records an independent sense alongside accompany.
undertaken,undertake,no,,standalone,No supported inflection rule safely maps this word to undertake.
conducting,conduct,yes,VBG|NN,standalone,WordNet records an independent sense alongside conduct.
accomplished,accomplish,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside accomplish.
projectors,projector,no,,standalone,No supported inflection rule safely maps this word to projector.
comparing,compare,yes,VBG,standalone,WordNet records an independent sense alongside compare.
pharmacies,pharmacy,no,,standalone,No supported inflection rule safely maps this word to pharmacy.
appreciated,appreciate,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside appreciate.
distinguished,distinguish,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside distinguish.
projected,project,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside project.
regulated,regulate,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside regulate.
anticipated,anticipate,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside anticipate.
completing,complete,yes,VBG,standalone,WordNet records an independent sense alongside complete.
copyrighted,copyright,yes,,standalone,WordNet records an independent sense alongside copyright.
warranties,warranty,no,,standalone,No supported inflection rule safely maps this word to warranty.
documented,document,yes,VBN|VBD,standalone,WordNet records an independent sense alongside document.
paperbacks,paperback,no,,standalone,No supported inflection rule safely maps this word to paperback.
keyboards,keyboard,no,,standalone,No supported inflection rule safely maps this word to keyboard.
reflected,reflect,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside reflect.
notifications,notification,no,,standalone,No supported inflection rule safely maps this word to notification.
liabilities,liability,yes,NNS,standalone,WordNet records an independent sense alongside liability.
decreased,decrease,yes,VBD|VBN,standalone,WordNet records an independent sense alongside decrease.
bookmarks,bookmark,no,,standalone,No supported inflection rule safely maps this word to bookmark.
suspended,suspend,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside suspend.
retrieved,retrieve,no,,standalone,No supported inflection rule safely maps this word to retrieve.
accessing,access,no,,standalone,No supported inflection rule safely maps this word to access.
attempted,attempt,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside attempt.
disturbed,disturb,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside disturb.
obituaries,obituary,no,,standalone,No supported inflection rule safely maps this word to obituary.
scripting,script,no,,standalone,No supported inflection rule safely maps this word to script.
remembered,remember,no,VBD|JJ|VBN,standalone,Past-tense form has an independent lexical role alongside remember.
headphones,headphone,no,,standalone,No supported inflection rule safely maps this word to headphone.
proceeding,proceed,yes,NN|VBG,standalone,WordNet records an independent sense alongside proceed.
encouraging,encourage,yes,VBG|JJ,standalone,WordNet records an independent sense alongside encourage.
furnished,furnish,yes,,standalone,WordNet records an independent sense alongside furnish.
threatened,threaten,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside threaten.
republicans,republican,no,,standalone,No supported inflection rule safely maps this word to republican.
submitting,submit,no,VBG|NN,standalone,Participle has an independent lexical role alongside submit.
citations,citation,no,,standalone,No supported inflection rule safely maps this word to citation.
disclaimers,disclaimer,no,,standalone,No supported inflection rule safely maps this word to disclaimer.
finishing,finish,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside finish.
refurbished,refurbish,no,,standalone,No supported inflection rule safely maps this word to refurbish.
activated,activate,yes,VBN|JJ,standalone,WordNet records an independent sense alongside activate.
accepting,accept,yes,VBG|JJ,standalone,WordNet records an independent sense alongside accept.
sustained,sustain,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside sustain.
inherited,inherit,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside inherit.
formatting,format,yes,,standalone,WordNet records an independent sense alongside format.
bracelets,bracelet,no,,standalone,No supported inflection rule safely maps this word to bracelet.
breathing,breathe,yes,NN|VBG,standalone,WordNet records an independent sense alongside breathe.
shortcuts,shortcut,no,,standalone,No supported inflection rule safely maps this word to shortcut.
combining,combine,yes,VBG,standalone,WordNet records an independent sense alongside combine.
organizing,organize,no,VBG|NN,standalone,Participle has an independent lexical role alongside organize.
moderators,moderator,no,,standalone,No supported inflection rule safely maps this word to moderator.
standings,standing,no,,standalone,No supported inflection rule safely maps this word to standing.
kilometers,kilometer,no,,standalone,No supported inflection rule safely maps this word to kilometer.
congratulations,congratulation,yes,,standalone,WordNet records an independent sense alongside congratulation.
stakeholders,stakeholder,no,,standalone,No supported inflection rule safely maps this word to stakeholder.
competing,compete,no,VBG|JJ,standalone,Participle has an independent lexical role alongside compete.
vacancies,vacancy,no,,standalone,No supported inflection rule safely maps this word to vacancy.
perceived,perceive,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside perceive.
troubleshooting,troubleshoot,no,,standalone,No supported inflection rule safely maps this word to troubleshoot.
fragrances,fragrance,no,,standalone,No supported inflection rule safely maps this word to fragrance.
fundraising,fundraise,no,,standalone,No supported inflection rule safely maps this word to fundraise.
webmasters,webmaster,no,,standalone,No supported inflection rule safely maps this word to webmaster.
answering,answer,yes,VBG|NN,standalone,WordNet records an independent sense alongside answer.
impressed,impress,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside impress.
preceding,precede,yes,,standalone,WordNet records an independent sense alongside precede.
postcards,postcard,no,,standalone,No supported inflection rule safely maps this word to postcard.
reviewing,review,no,VBG|NN,standalone,Participle has an independent lexical role alongside review.
abandoned,abandon,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside abandon.
beverages,beverage,no,,standalone,No supported inflection rule safely maps this word to beverage.
entertaining,entertain,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside entertain.
passwords,password,no,,standalone,No supported inflection rule safely maps this word to password.
spreading,spread,yes,VBG,standalone,WordNet records an independent sense alongside spread.
referenced,reference,yes,,standalone,WordNet records an independent sense alongside reference.
corrected,correct,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside correct.
surrounded,surround,yes,VBN|VBD,standalone,WordNet records an independent sense alongside surround.
referrals,referral,no,,standalone,No supported inflection rule safely maps this word to referral.
integrating,integrate,yes,VBG,standalone,WordNet records an independent sense alongside integrate.
revisions,revision,no,,standalone,No supported inflection rule safely maps this word to revision.
reasoning,reason,yes,NN|VBG,standalone,WordNet records an independent sense alongside reason.
annotated,annotate,no,,standalone,No supported inflection rule safely maps this word to annotate.
convinced,convince,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside convince.
replacing,replace,yes,VBG,standalone,WordNet records an independent sense alongside replace.
acknowledged,acknowledge,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside acknowledge.
characterized,characterize,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside characterize.
qualifying,qualify,yes,VBG,standalone,WordNet records an independent sense alongside qualify.
institutes,institute,no,NN,standalone,No supported inflection rule safely maps this word to institute.
brochures,brochure,no,,standalone,No supported inflection rule safely maps this word to brochure.
suspected,suspect,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside suspect.
beginners,beginner,no,,standalone,No supported inflection rule safely maps this word to beginner.
simplified,simplify,no,,standalone,No supported inflection rule safely maps this word to simplify.
housewives,housewife,no,,standalone,No supported inflection rule safely maps this word to housewife.
omissions,omission,no,,standalone,No supported inflection rule safely maps this word to omission.
motorcycles,motorcycle,no,,standalone,No supported inflection rule safely maps this word to motorcycle.
fascinating,fascinate,yes,JJ,standalone,WordNet records an independent sense alongside fascinate.
accompanying,accompany,yes,VBG|JJ,standalone,WordNet records an independent sense alongside accompany.
configuring,configure,no,,standalone,No supported inflection rule safely maps this word to configure.
editorials,editorial,no,,standalone,No supported inflection rule safely maps this word to editorial.
rendering,render,yes,VBG|NN,standalone,WordNet records an independent sense alongside render.
functioning,function,yes,VBG|NN,standalone,WordNet records an independent sense alongside function.
paragraphs,paragraph,no,,standalone,No supported inflection rule safely maps this word to paragraph.
respected,respect,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside respect.
interpreted,interpret,yes,VBN|VBD,standalone,WordNet records an independent sense alongside interpret.
commissions,commission,no,NNS|VBZ|NN,standalone,Plural form has an independent lexical role alongside commission.
graduated,graduate,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside graduate.
surprising,surprise,yes,JJ|VBG,standalone,WordNet records an independent sense alongside surprise.
fundamentals,fundamental,yes,NNS,standalone,WordNet records an independent sense alongside fundamental.
endangered,endanger,yes,,standalone,WordNet records an independent sense alongside endanger.
nominated,nominate,yes,VBN|VBD,standalone,WordNet records an independent sense alongside nominate.
recovered,recover,yes,VBD|VBN,standalone,WordNet records an independent sense alongside recover.
upgrading,upgrade,no,,standalone,No supported inflection rule safely maps this word to upgrade.
demanding,demand,yes,VBG|JJ,standalone,WordNet records an independent sense alongside demand.
forbidden,forbid,yes,,standalone,WordNet records an independent sense alongside forbid.
programmers,programmer,no,,standalone,No supported inflection rule safely maps this word to programmer.
monitored,monitor,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside monitor.
motivated,motivate,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside motivate.
examining,examine,no,VBG|NN,standalone,Participle has an independent lexical role alongside examine.
dictionaries,dictionary,no,,standalone,No supported inflection rule safely maps this word to dictionary.
positioning,position,yes,VBG|NN,standalone,WordNet records an independent sense alongside position.
descending,descend,yes,VBG,standalone,WordNet records an independent sense alongside descend.
transcripts,transcript,no,,standalone,No supported inflection rule safely maps this word to transcript.
disappointed,disappoint,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside disappoint.
promising,promise,yes,JJ|VBG,standalone,WordNet records an independent sense alongside promise.
forwarding,forward,yes,NN|VBG,standalone,WordNet records an independent sense alongside forward.
receptors,receptor,no,,standalone,No supported inflection rule safely maps this word to receptor.
coordinated,coordinate,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside coordinate.
antibodies,antibody,no,,standalone,No supported inflection rule safely maps this word to antibody.
roommates,roommate,no,,standalone,No supported inflection rule safely maps this word to roommate.
threatening,threaten,yes,VBG|JJ,standalone,WordNet records an independent sense alongside threaten.
